specimen_id	e-type	m-type	me-type	upright_angle	soma_distance_from_pia	estimated_shrinkage_factor	estimated_slice_angle	line_name	specimen__hemisphere	structure__acronym	structure_parent__acronym	structure__layer	nr__max_euclidean_distance	nr__number_stems	nr__number_bifurcations	nr__average_contraction	nr__average_parent_daughter_ratio	ef__fast_trough_v_long_square	ef__upstroke_downstroke_ratio_long_square	ef__adaptation	ef__f_i_curve_slope	ef__threshold_i_long_square	ef__tau	ef__avg_isi	ef__avg_firing_rate	ef__ri	ef__peak_t_ramp	ef__vrest	si__height	si__width	csl__x	csl__y	csl__z	csl__normalized_depth	cell_reporter_status	m__glif	m__biophys	m__biophys_perisomatic	m__biophys_all_active	tag__apical	tag__dendrite_type	donor__age	donor__sex	donor__disease_state	donor__race	donor__years_of_seizure_history	cell_set_preferred_alias	cell_set_ label	cell_set_ accession	cell_set_ aligned_alias	cell_set_  additional_alias	cell_set_ alias_citation	cell_set_ structure	cell_set_ ontology_tag	nomenclature_taxonomy_id	nomenclature_species	nomenclature_modality
313862022	Exc_3	Spiny_8	ME_Exc_6	150.31995544785	492.100275160717	2.97763625025	-25.4531072659	Scnn1a-Tg2-Cre	right	VISp4	VISp	4	488.514987082444	8.0	39.0	0.878773271910013	1.1223625067110001	-49.1875	5.2611661772553	0.288858288977703	0.16213872832369902	190.0	17.0602466831779	147.79	6.76635766966642	58.2812875509262	3.5747699999999996	-63.5755844116211	7570.0	5762.0	9489.24257509068	1423.6523902814802	2785.44307154461	0.46163412384743696	positive	0	1	1	0	intact	spiny						ME_Exc_6	ME 33	CS201906170_33		Wide, short L6a & tufted (large basal) L5|RS adapting	10.1038/s41593-019-0417-0	primary visual cortex	UBERON_0002436	CCN201906170	Mouse	Morphology|Electrophysiology
313862167	Inh_13	Aspiny_1	ME_Inh_15	119.629704922695	408.467273222669	2.03059939232999	-21.2132685127	Sst-IRES-Cre	right	VISl4	VISl	4	247.73779145289902	5.0	19.0	0.930363535415248	0.858529232947957	-58.15625	1.66391321202204	0.00312046281185448	0.41309525744985	130.0	12.185558878206999	30.758833333333303	32.5109860040206	181.874960660934	6.30261166666667	-79.63563537597659	5748.0	7583.0	9279.53948496313	1831.03502009105	2151.24431991082	0.34021315400510305	positive	5	2	1	1		aspiny						ME_Inh_15	ME 15	CS201906170_15		L1-innervating ascending axon L2/3, L4|mid-width AP adapting & FS pausing 	10.1038/s41593-019-0417-0	primary visual cortex	UBERON_0002436	CCN201906170	Mouse	Morphology|Electrophysiology
313862373	Inh_2	Aspiny_4	ME_Inh_7	249.18314556635	926.652427745353	1.6147142701	-29.9856925684	Pvalb-IRES-Cre	left	VISl6a	VISl	6a	251.498886731254	6.0	21.0	0.888560724973797	1.1062000499500502	-62.468753814697294	1.2851960601820098		0.0545454545454543	630.0	6.52352915938128			67.500002682209	22.145867499999998	-76.8938217163086	5740.0	5738.0	9465.94223174317	2210.36351644808	2482.08298338355	0.841596989467104	positive	0	0	0	0		aspiny						ME_Inh_7	ME 07	CS201906170_7		Wide axon, large dendrites L6|FS transient 	10.1038/s41593-019-0417-0	primary visual cortex	UBERON_0002436	CCN201906170	Mouse	Morphology|Electrophysiology
314642645	Exc_3	Spiny_3	ME_Exc_17	233.914695354004	372.68594296213	2.25123818099999	24.7731252511	Rorb-IRES2-Cre	right	VISp4	VISp	4	420.59640830501604	8.0	19.0	0.87357712551597	0.8969654903237709	-51.718753814697294	3.57332217163985	0.0361167845635076	0.242547660311958	50.0	20.371942491682397	59.8553125	16.7069547920245	230.468705296516	2.778125	-75.89622497558591	5728.0	5737.0	9396.04120170065	1466.3942166571399	2676.18119992204	0.352524009520805	positive	5	2	1	1	intact	spiny																
314804042	Exc_3	Spiny_4	ME_Exc_16	238.336908655996	492.354330887226	2.87465360424	-12.5953674474	Rorb-IRES2-Cre	left	VISp5	VISp	5	422.170626147995	4.0	28.0	0.890830812861332	0.837657988583219	-49.718753814697294	3.3875199989817597	0.0929322942815354	0.154761904761905	90.0	31.553622349184	101.34333333333299	9.86744729138575	215.624928474426	3.7446349999999997	-71.1050338745117	7582.0	5744.0	8766.93193131801	1245.0648598059	8245.147191273829	0.49497835225346104	positive	0	1	1	0	intact	spiny																
314822529	Exc_2	Spiny_16	ME_Exc_5	70.8545778321252	729.838719015647	2.30041944315	-4.24161550975	Rorb-IRES2-Cre	left	VISp5	VISp	5	710.533066729297	6.0	36.0	0.886591302322289	0.8673877995311421	-48.65625	2.98233668566304		0.134138655833592	190.0	20.809883351675	49.12500000000011	20.356234096692102	146.718755364418	4.5722	-76.0803756713867	7599.0	11272.0	8277.624721020391	1198.8021790822802	8089.544237466329	0.747127831486318	positive	5	2	1	1	intact	spiny																
314831019	Exc_3	Spiny_8	ME_Exc_13	332.697089503007	512.471548365974	2.47328848437	11.8993817413	Scnn1a-Tg3-Cre	left	VISp5	VISp	5	536.186484809054	10.0	34.0	0.8494203426797571	0.9259491193295508	-47.125	4.1983029988262	0.0551576635576852	0.15572429906542098	90.0	20.281715856068	128.938333333333	7.755645463593731	140.93761146068599	4.37395333333333	-76.5253677368164	7597.0	5742.0	8766.93193131801	974.976888935706	7738.2123432750095	0.506814159839238	positive	0	2	1	1	intact	spiny						ME_Exc_13	ME 30	CS201906170_30	L5 IT	Tufted L5|RS adapting	10.1038/s41593-019-0417-0	primary visual cortex	UBERON_0002436	CCN201906170	Mouse	Morphology|Electrophysiology
314900022	Exc_3	Spiny_7	ME_Exc_17	201.710075418404	415.799293726531	3.2956446788	23.0568515371999	Scnn1a-Tg3-Cre	right	VISp4	VISp	4	411.17461447280505	5.0	18.0	0.911586975119153	0.93652043357519	-50.750003814697294	2.62868207709795	0.0297156416156401	0.20573770491803303	50.0	26.099363769708802	49.5855263157895	20.1671752686745	267.96874403953603	2.4735424999999998	-73.1547622680664	7582.0	7588.0	9396.04120170065	1349.79091487758	2929.8114346009497	0.39023392673006496	positive	2	1	1	0	intact	spiny																
318733871	Exc_3	Spiny_5	ME_Exc_19	131.809813649085	401.431631002106	3.62266885033	-12.4636693801	Nr5a1-Cre	right	VISp4	VISp	4	267.87096985201697	7.0	14.0	0.90931943521504	0.8643269422326809	-46.03125	2.63304079954006	0.145804842185204	0.194859813084112	70.0	26.331740556466897	93.6733333333333	10.675396768913199	256.562560796738	3.459965	-72.63360595703121	5745.0	5746.0	8909.0	1090.71508532769	3102.6719755442605	0.388759553459599	positive	5	1	1	0	intact	spiny																
318808427	Exc_3	Spiny_5	ME_Exc_20	151.219334330154	374.488624790967	2.23214285714	16.8075214683	Nr5a1-Cre	left	VISp2/3	VISp	2/3	337.481991713454	4.0	16.0	0.9054749708609671	0.85848895358907	-47.406253814697294	3.13266530006402	0.0165695667006764	0.200630260728423	130.0	15.8417259985815	61.639166666666696	16.2234509984182	189.06249105930303	5.72122666666667	-75.57073974609379	7585.0	7601.0	9163.0377682256	1121.30074408351	8371.151113817241	0.33610408639461803	positive	2	2	1	1	intact	spiny																
