	Species	nm_volume	average_bifurcation_angle_local	average_bifurcation_angle_remote	average_contraction	average_diameter	average_fragmentation	average_parent_daughter_ratio	hausdorff_dimension	id	max_branch_order	max_euclidean_distance	max_path_distance	neuron_reconstruction_type	number_bifurcations	number_branches	number_nodes	number_stems	number_tips	overall_depth	overall_height	overall_width	scale_factor_x	scale_factor_y	scale_factor_z	soma_surface	superseded	tags	total_length	total_surface	vaa3d_volume	line_name	specimen__name	specimen__hemisphere	structure__id	structure__name	structure__acronym	structure_parent__id	structure_parent__acronym	structure__layer	nr__max_euclidean_distance	nr__number_stems	nr__number_bifurcations	nr__average_contraction	nr__average_parent_daughter_ratio	nr__reconstruction_type	nrwkf__id	erwkf__id	ef__fast_trough_v_long_square	ef__upstroke_downstroke_ratio_long_square	ef__adaptation	ef__f_i_curve_slope	ef__threshold_i_long_square	ef__tau	ef__avg_isi	ef__avg_firing_rate	ef__ri	ef__peak_t_ramp	ef__vrest	si__height	si__width	si__path	csl__x	csl__y	csl__z	csl__normalized_depth	cell_reporter_status	m__glif	m__biophys	m__biophys_perisomatic	m__biophys_all_active	tag__apical	tag__dendrite_type	morph_thumb_path	ephys_thumb_path	ephys_inst_thresh_thumb_path	donor__age	donor__sex	donor__disease_state	donor__race	donor__years_of_seizure_history	donor__species	donor__id	donor__name	e-type	m-type	me-type	upright_angle	soma_distance_from_pia	estimated_shrinkage_factor	estimated_slice_angle	cell_set_preferred_alias	cell_set_ label	cell_set_ accession	cell_set_ aligned_alias	cell_set_  additional_alias	cell_set_ alias_assignee	cell_set_ alias_citation	cell_set_ structure	cell_set_ ontology_tag	taxonomy_id	species	modality
488386504	Human	4337.309142682827	83.2858684901485		0.9084878211832601	0.187570505016208	90.03125	0.890005238859388		623320232	3.0	306.28522965246003	315.520990191389	full	16	38	3000	6	22	64.9729	551.043324383022	374.413197731449	0.1144	0.1144	0.28	65.90411117888061	False	3D Neuron Reconstruction morphology	3462.9334738154603	2037.56013740948	107.626503908893		H15.06.016.01.12.01	right	12117	"""inferior frontal gyrus"""	IFG	12117	IFG	3	306.28522965246003	6.0	16.0	0.9084878211832601	0.890005238859388	full	623320234.0	618225494	-68.25	1.15957403460519	0.0244860244860264	0.308522742804416	130.0	7.073252621749389	4.66666666666667	214.285714285714	111.093789339066	9.41322666666667	-82.7666015625	9444.0	9447.0	/external/humancelltypes/prod6/specimen_488386504/min_xy_488386504.aff	308.0	310.0	185.0	0.251463357211457		2	0	0	0		aspiny	/api/v2/well_known_file_download/606633300	/api/v2/well_known_file_download/488388593	/api/v2/well_known_file_download/500862657	27 yrs	Female	tumor	White or Caucasian	0.0	Homo Sapiens	486909083	H15.06.016																			
488386626	Human	4086.7475601098354	71.9348522678607		0.9265640230853841	0.482866533986165	85.6071428571429	0.931742680458507		669287805	5.0	316.385621520274	362.37041121835296	full	15	34	2430	4	19	69.7698	442.578166154486	324.459967472043	0.1144	0.1144	0.28	609.960521989636	False	3D Neuron Reconstruction morphology	2818.0276824792895	4289.961762812871	547.046601055828		H15.06.016.01.03.02	right	12117	"""inferior frontal gyrus"""	IFG	12117	IFG	3	316.385621520274	4.0	15.0	0.9265640230853841	0.931742680458507	full	669287807.0	618224815	-62.187503814697294	1.28144781293301	0.0520833333333277	0.0387500010543394	190.0	5.6987736238026905	5.759999999999991	173.611111111111	87.20702677965159	14.61411	-64.9860382080078	9447.0	9426.0	/external/humancelltypes/prod17/specimen_488386626/min_xy_488386626.aff	308.0	310.0	185.0	0.37977466342551597		0	0	0	0		aspiny	/api/v2/well_known_file_download/606633395	/api/v2/well_known_file_download/488390619	/api/v2/well_known_file_download/500862652	27 yrs	Female	tumor	White or Caucasian	0.0	Homo Sapiens	486909083	H15.06.016																			
488418027	Human	4460.977077878065	73.4872400466922		0.8720393730760351	0.533630227974214	130.36	1.0		669814886	3.0	471.341628270589	480.83639374555	full	13	31	3419	5	18	38.8729	756.6135176656171	247.884508557095	0.1144	0.1144	0.28	389.40701198267305	False	3D Neuron Reconstruction morphology	3926.6924115421	6583.24105346416	904.463394681945		H15.06.017.03.03.01	right	12141	"""middle temporal gyrus"""	MTG	12141	MTG	3	471.341628270589	5.0	13.0	0.8720393730760351	1.0	full	669814888.0	616980549	-63.40625	1.52454307267456		0.365315450306316	100.0	11.016551726367199	9.03000000000009	110.741971207086	141.249969601631	8.22201333333333	-72.4567947387695	9441.0	11280.0	/external/humancelltypes/prod13/specimen_488418027/min_xy_488418027.aff	325.0	261.0	109.0	0.23853991543598999		5	1	1	0		aspiny	/api/v2/well_known_file_download/606633357	/api/v2/well_known_file_download/488418607	/api/v2/well_known_file_download/543285962	65 yrs	Male	epilepsy	Asian	14.0	Homo Sapiens	487502058	H15.06.017																			
508279351	Human	4285.64297931053	69.6298279288791		0.851035130560894	0.42475040669157	76.55	0.8845805013615871		538906745	9.0	548.378464486535	646.9371495059929	full	50	106	7792	6	56	126.5846	715.481858897733	585.691251654314	0.1144	0.1144	0.28	590.200507189803	False	3D Neuron Reconstruction morphology	9206.32986693198	12207.613909026699	1505.2320499428101		H16.06.004.01.04.01	right	12141	"""middle temporal gyrus"""	MTG	12141	MTG	3	548.378464486535	6.0	50.0	0.851035130560894	0.8845805013615871	full	538906747.0	616978710	-49.750003814697294	2.50746225724583	0.32254335260116196	0.03214586846543	260.0	27.2643327261422	8.65000000000005	115.60693641618401	77.96879112720491	14.2160133333333	-80.5055160522461	13133.0	9494.0	/external/humancelltypes/prod26/specimen_508279351/min_xy_508279351.aff	325.0	257.0	102.0	0.14262900566078798		0	1	1	0	intact	spiny	/api/v2/well_known_file_download/615966592	/api/v2/well_known_file_download/520757101	/api/v2/well_known_file_download/520757103	37 yrs	Male	epilepsy	White or Caucasian	5.0	Homo Sapiens	504921484	H16.06.004																			
508282493	Human	9552.521840567315	67.4282132484494		0.881825863333112	0.897421055138816	75.6617647058823	0.9708100112805071		582653919	9.0	565.3391560023861	627.510998927956	full	34	74	5249	6	40	146.5332	716.511223409957	439.285894409057	0.1144	0.1144	0.28	802.946573537362	False	3D Neuron Reconstruction morphology	6628.39379552189	19217.1099558943	4827.155060893951		H16.06.004.01.04.03	right	12141	"""middle temporal gyrus"""	MTG	12141	MTG	3	565.3391560023861	6.0	34.0	0.881825863333112	0.9708100112805071	full	582653921.0	616979166	-47.187503814697294	3.20023676836465		0.0767857127286937	190.0	28.1430072488988	108.56	9.21149594694178	111.718788743019	7.414039999999999	-73.3311538696289	16867.0	11325.0	/external/humancelltypes/prod27/specimen_508282493/min_xy_508282493.aff	325.0	257.0	102.0	0.16827951260866103		0	1	1	0	intact	spiny	/api/v2/well_known_file_download/615966568	/api/v2/well_known_file_download/520757125	/api/v2/well_known_file_download/520757127	37 yrs	Male	epilepsy	White or Caucasian	5.0	Homo Sapiens	504921484	H16.06.004																			
508298270	Human	16576.774949734692	60.8834949991162		0.8092993829747599	0.893204963599396	76.2976190476191	0.9881170204044358		556380170	10.0	389.40197254637803	536.358881785553	full	43	92	6565	6	49	138.2268	468.509674444469	549.684530101802	0.1144	0.1144	0.28	1004.5896298737899	False	3D Neuron Reconstruction morphology	8234.59962330567	25338.7393150846	7924.62268707155		H16.06.004.01.04.05	right	12141	"""middle temporal gyrus"""	MTG	12141	MTG	3	389.40197254637803	6.0	43.0	0.8092993829747599	0.9881170204044358	full	556380172.0	618219860	-46.562503814697294	2.3866244018462597	0.45945945945945793	0.00900965294674684	210.0	35.6783137120191	10.73	93.1966449207828	100.31246393919001	9.044080000000001	-74.4915466308594	7590.0	7603.0	/external/humancelltypes/prod41/specimen_508298270/min_xy_508298270.aff	325.0	257.0	102.0	0.0954777859793282		0	0	0	0	intact	spiny	/api/v2/well_known_file_download/615966558	/api/v2/well_known_file_download/523042960	/api/v2/well_known_file_download/523042962	37 yrs	Male	epilepsy	White or Caucasian	5.0	Homo Sapiens	504921484	H16.06.004																			
508305938	Human	8496.656476209595	73.9608832168682		0.8651218448260459	0.360908507915266	95.8407079646018	0.835762632165823		544901580	11.0	568.771670104322	659.6033435410769	full	57	123	11024	9	66	152.6196	767.316139522085	492.97283068762397	0.1144	0.1144	0.28	865.140265298304	False	3D Neuron Reconstruction morphology	13009.683206251	14664.744692439599	1505.74195817586		H16.06.004.02.10.01	right	12141	"""middle temporal gyrus"""	MTG	12141	MTG	3	568.771670104322	9.0	57.0	0.8651218448260459	0.835762632165823	full	544901582.0	618219453	-51.781253814697294	3.9136588656039604		0.0571428546775761	230.0	28.658737015957698	12.5	80.0	56.2500767409801	15.287746666666699	-70.79139709472659	15012.0	9608.0	/external/humancelltypes/prod32/specimen_508305938/min_xy_508305938.aff	325.0	258.0	104.0	0.155445731993857		2	0	0	0	intact	spiny	/api/v2/well_known_file_download/615966721	/api/v2/well_known_file_download/523043397	/api/v2/well_known_file_download/523043399	37 yrs	Male	epilepsy	White or Caucasian	5.0	Homo Sapiens	504921484	H16.06.004																			
508309649	Human	13508.842395795102	72.24708727749329		0.8614084684681791	0.8133070296450241	117.34615384615401	0.8908275660240629		546790847	9.0	1280.53990163194	1381.9142395404401	full	26	57	6194	5	31	149.4016	1725.44788363752	494.99774484625	0.1144	0.1144	0.28	811.6713266469679	False	3D Neuron Reconstruction morphology	7284.81945371393	18722.5497504514	6151.897747277751		H16.06.004.01.03.05	right	12141	"""middle temporal gyrus"""	MTG	12141	MTG	5	1280.53990163194	5.0	26.0	0.8614084684681791	0.8908275660240629	full	546790849.0	618219581	-52.25	3.85443053655266	0.00832759117040725	0.13867127496159803	90.0	34.7275605751781	83.3	12.004801920768301	185.625031590462	4.17474	-73.53367614746091	24237.0	11402.0	/external/humancelltypes/prod22/specimen_508309649/min_xy_508309649.aff	325.0	257.0	102.0	0.6168037349190649		0	0	0	0	truncated	spiny	/api/v2/well_known_file_download/742013928	/api/v2/well_known_file_download/520757253	/api/v2/well_known_file_download/520757260	37 yrs	Male	epilepsy	White or Caucasian	5.0	Homo Sapiens	504921484	H16.06.004																			
508378649	Human	3511.5477681579564	73.18815884981571		0.881685300000467	0.37562717762087205	63.163043478260896	0.866616848145282		667324826	10.0	521.040114302536	600.573351721235	full	46	99	5922	7	53	53.7558	695.2837784168539	445.192702093009	0.1144	0.1144	0.28	443.507177101966	False	3D Neuron Reconstruction morphology	6814.0087743205	8088.4678600159805	855.1750027559		H16.06.004.01.05.02	right	12141	"""middle temporal gyrus"""	MTG	12141	MTG	3	521.040114302536	7.0	46.0	0.881685300000467	0.866616848145282	full	667324828.0	618218306	-47.78125	3.0785644289569802	0.0627239120379099	0.123106060606061	90.0	48.6829629366567	127.113333333333	7.86699533224946	189.218744635582	4.94752	-71.4937286376953	13128.0	9438.0	/external/humancelltypes/prod39/specimen_508378649/min_xy_508378649.aff	325.0	257.0	102.0	0.164933342849586		5	1	1	0	intact	spiny	/api/v2/well_known_file_download/606633344	/api/v2/well_known_file_download/523010326	/api/v2/well_known_file_download/523010329	37 yrs	Male	epilepsy	White or Caucasian	5.0	Homo Sapiens	504921484	H16.06.004																			
508405843	Human	1996.7956812849811	81.7387502389774		0.861565845845287	0.438441436385665	72.71875	0.905363051515678		538906639	8.0	323.59041473586603	438.93025909677397	full	16	37	2430	5	21	146.655	452.405509987799	383.41335552685797	0.1144	0.1144	0.28	254.017178159492	False	3D Neuron Reconstruction morphology	2982.4159193393602	4109.03840941258	512.427428189707		H16.06.004.01.13.02	right	12141	"""middle temporal gyrus"""	MTG	12141	MTG	4	323.59041473586603	5.0	16.0	0.861565845845287	0.905363051515678	full	538906641.0	616978607	-53.28125	2.52847769357948	0.0700898593253624	0.279015544041451	50.0	32.4158871029493	67.6742857142857	14.776661318922601	374.107241630554	2.99468666666667	-70.8777847290039	9425.0	11272.0	/external/humancelltypes/prod25/specimen_508405843/min_xy_508405843.aff	325.0	257.0	102.0	0.439576787841329		2	1	1	0	truncated	spiny	/api/v2/well_known_file_download/615966533	/api/v2/well_known_file_download/520758030	/api/v2/well_known_file_download/520758032	37 yrs	Male	epilepsy	White or Caucasian	5.0	Homo Sapiens	504921484	H16.06.004																			
